,URL,F1A,F1B,F2A,F2B,A1.1,A1.2,I1,I2,I3,R1.1,R1.2,R1.3,F_score,A_score,I_score,R_score,FAIR_score
0,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963981305.1/,2,0,1,1,2,0,1,1,0,0,0,1,50.0,50.0,33.3,16.7,37.5
1,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112797446/,2,0,0,0,2,0,0,0,0,0,0,0,25.0,50.0,0.0,0.0,16.7
2,https://www.ebi.ac.uk/ena/browser/view/SAMEA112797446,2,0,0,0,2,0,0,0,0,0,0,0,25.0,50.0,0.0,0.0,16.7
3,https://www.ebi.ac.uk/biosamples/samples/SAMEA112797446.ldjson,2,2,1,0,2,0,1,1,0,0,0,1,62.5,50.0,33.3,16.7,41.7
4,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963879515.1/,2,2,1,1,2,0,1,1,2,0,0,1,75.0,50.0,66.7,16.7,54.2
5,https://www.ncbi.nlm.nih.gov/biosample/SAMEA114863253/,2,0,1,1,2,0,0,0,0,0,0,0,50.0,50.0,0.0,0.0,25.0
6,https://www.ebi.ac.uk/biosamples/samples/SAMEA114863253.ldjson,2,2,1,1,2,0,1,1,0,0,0,1,75.0,50.0,33.3,16.7,45.8
7,https://www.gbif.org/dataset/4fa7b334-ce0d-4e88-aaae-2e0c138d049e,0,0,0,0,2,0,0,0,0,0,0,1,0.0,50.0,0.0,16.7,12.5
8,https://doi.org/10.15468/aomfnb,0,0,1,1,2,0,1,1,0,0,0,1,25.0,50.0,33.3,16.7,29.2
9,https://portal.erga-biodiversity.eu/data_portal/878968,2,0,1,1,2,2,1,1,2,2,0,1,50.0,100.0,66.7,50.0,62.5
10,https://portal.erga-biodiversity.eu/organism/SAMEA112963210,2,0,0,0,2,0,0,0,0,0,0,0,25.0,50.0,0.0,0.0,16.7
11,https://disscover.dissco.eu/ds/10.3535/J0R-CD8-SH5,2,0,0,0,2,0,0,0,0,0,0,0,25.0,50.0,0.0,0.0,16.7
12,https://disscover.dissco.eu/api/digital-specimen/v1/10.3535/KJE-E3A-Q80,2,0,1,1,2,2,1,1,2,2,2,1,50.0,100.0,66.7,83.3,70.8
